lon,lat,ve,vn,ee,en,cen
99.53455,21.68277,1.495,-3.744,1.11,0.843,-0.376
100.87846,23.12629,1.117,-8.573,0.593,0.64,0.011
100.25453,21.44677,3.139,-2.988,0.971,0.687,0.001
100.62402,21.15248,5.288,-4.705,2.387,2.961,-1.806
96.31352,20.47806,-4.598,6.861,3.076,1.193,0.633
97.96933,20.93316,1.209,0.337,0.729,0.733,-0.043
100.3926,20.62891,7.285,-3.904,2.99,3.365,-6.906
101.29762,22.97597,3.001,-7.0,0.433,0.517,-0.051
104.52363,20.62725,6.933,-3.91,0.267,0.214,0.023
104.43887,14.59953,6.261,-1.313,0.306,0.229,0.018
99.31161,18.3935,5.115,0.533,0.554,0.375,-0.003
113.25955,37.04759,5.177,-2.528,0.081,0.076,-0.001
113.91483,39.43005,4.641,-1.798,0.146,0.156,0.003
109.109,37.82422,5.139,-2.356,0.059,0.057,0.0
111.00112,34.58896,6.326,-2.326,0.12,0.151,-0.004
113.08143,38.72245,4.718,-2.359,0.123,0.144,-0.001
114.31286,39.91379,4.418,-1.791,0.152,0.166,0.004
112.24728,37.47483,5.304,-1.891,0.343,0.293,-0.015
111.00943,35.4916,5.96,-2.19,0.135,0.146,0.005
108.66668,34.46103,6.373,-2.334,0.166,0.139,0.001
108.38655,33.59246,7.592,-2.577,0.131,0.171,0.003
115.7849,35.06512,5.189,-2.449,0.06,0.05,-0.0
100.47934,23.90715,-0.739,-9.327,1.138,0.762,-0.268
99.91972,23.49764,-0.535,-7.79,0.569,0.345,-0.034
99.61212,24.43033,0.26,-8.001,0.38,0.429,-0.003
99.53232,25.93767,1.784,-11.14,0.219,0.255,-0.001
138.28049,48.93871,0.614,0.434,1.384,1.043,-0.412
128.31749,40.76453,0.955,-0.738,0.087,0.103,-0.001
124.15524,48.51792,1.01,-0.426,0.068,0.067,-0.001
132.85054,47.68344,0.442,-0.142,0.222,0.254,-0.02
69.76523,37.93761,-8.6,6.756,0.732,0.42,0.014
72.40222,39.34618,-6.431,9.143,1.287,1.485,0.544
70.97291,44.51136,0.401,2.209,0.322,0.436,0.112
73.68554,42.56717,-0.4,2.032,0.171,0.173,-0.002
75.0116,42.28247,0.428,3.534,0.438,0.444,-0.026
72.14382,42.4264,0.137,1.481,0.164,0.198,-0.0
77.14184,42.45684,1.401,5.845,0.179,0.18,0.002
72.86641,41.86251,0.487,2.287,0.415,0.51,-0.032
74.24124,39.52794,-0.949,15.084,0.961,0.974,-0.176
73.12616,39.61537,-0.193,10.095,0.479,0.68,-0.083
75.36872,39.62023,1.032,17.098,0.447,0.537,0.023
73.47426,40.60222,-3.718,9.675,0.778,0.821,-0.199
72.43541,39.81813,-0.221,8.646,0.214,0.276,-0.001
73.43796,40.92867,-2.619,8.73,0.827,0.797,-0.066
71.61698,40.3928,-0.457,6.109,0.424,0.545,-0.015
71.74976,40.84341,-0.599,3.835,0.266,0.329,-0.014
71.04046,41.20741,-0.778,1.804,0.365,0.316,-0.043
68.22185,42.11563,-0.604,1.869,0.21,0.318,0.006
75.6354,43.16789,-0.281,1.43,0.645,0.581,0.042
74.92199,41.94275,-0.174,5.031,0.302,0.265,0.01
76.99363,43.10175,0.873,3.339,0.315,0.319,0.047
78.38075,43.18587,2.177,5.11,0.789,0.727,0.348
78.84833,43.42667,1.187,4.306,0.71,1.298,0.05
77.4692,42.82319,0.833,5.458,0.213,0.183,0.001
78.33909,42.50877,0.02,7.352,0.427,0.475,-0.019
78.37342,42.63896,0.692,5.894,0.589,0.649,-0.004
120.04478,35.50962,4.024,-2.562,0.097,0.094,0.0
76.73917,41.92208,0.987,7.909,0.232,0.219,-0.004
75.39805,40.88896,-0.332,9.626,0.423,0.347,0.046
77.6074,40.52591,2.284,13.778,0.207,0.197,-0.007
74.38643,41.58849,0.06,5.578,0.194,0.257,-0.006
76.59207,41.0828,0.514,12.071,0.366,0.453,-0.037
74.93011,41.35695,-0.499,6.059,0.461,0.565,-0.019
75.97289,41.30322,-0.066,9.76,0.311,0.323,0.012
79.1315,42.31262,1.585,9.433,0.22,0.245,0.007
79.20572,41.62445,3.768,10.763,0.492,0.551,-0.011
82.21745,41.73534,6.581,9.92,0.433,0.447,0.012
83.07174,42.38442,5.415,7.436,0.313,0.268,-0.008
76.68404,42.15951,0.782,7.582,0.261,0.271,0.004
75.64801,41.83276,0.122,6.256,0.245,0.294,-0.004
83.62333,28.20306,5.037,22.792,0.976,0.801,0.031
80.2967,43.23068,2.613,5.384,0.238,0.288,-0.001
80.76591,43.09567,2.471,6.436,0.429,0.418,0.031
80.91874,42.90605,2.988,7.432,0.271,0.336,-0.024
80.65042,43.71897,2.523,5.378,0.176,0.232,0.002
81.38657,44.23135,2.368,4.39,0.278,0.27,0.006
80.52981,45.30225,-0.205,3.352,0.507,0.589,0.004
82.07713,44.75818,1.936,5.232,0.408,0.373,-0.007
99.53569,42.55524,4.272,1.015,0.292,0.268,-0.003
83.4472,30.8189,6.387,18.86,1.622,0.907,-0.464
86.75786,42.4047,4.043,7.534,0.303,0.333,0.007
86.87337,42.02907,4.938,7.946,0.418,0.361,0.003
85.59354,43.69409,3.471,7.392,0.318,0.226,-0.014
85.13792,42.96658,3.846,7.668,0.216,0.193,-0.005
89.04531,43.59834,4.6,6.314,0.183,0.229,-0.006
88.86217,43.12164,4.495,6.736,0.228,0.273,0.014
90.37271,47.09099,2.004,3.237,0.379,0.676,-0.071
93.0208,43.43301,4.99,4.139,0.291,0.412,0.037
92.04376,45.5337,4.729,4.893,1.1,1.372,1.264
93.92672,44.14745,4.717,4.094,0.342,0.451,0.015
89.33006,41.49581,4.031,5.842,0.428,1.363,0.213
92.33476,42.42992,4.161,4.901,0.219,0.226,0.001
99.37986,44.20546,4.024,-0.016,1.521,1.395,0.16
78.04723,44.43757,-0.83,1.555,1.063,0.573,-0.058
76.5085,43.77074,-0.142,2.027,0.157,0.195,-0.009
74.61882,45.83056,0.299,1.042,0.497,0.473,0.004
77.85385,46.4304,0.239,0.781,0.88,0.849,-0.026
78.57515,46.88162,-0.469,1.382,2.189,2.704,2.913
79.43634,47.69905,-1.502,0.923,0.784,0.858,0.053
95.68781,39.91129,2.275,2.668,0.379,0.774,-0.07
94.91095,40.66568,3.454,3.732,0.188,0.215,-0.002
107.83049,41.63421,3.232,-0.822,0.082,0.098,0.001
112.55282,40.78596,3.381,-1.303,0.219,0.309,0.007
112.6449,40.11801,4.088,-1.843,0.133,0.131,-0.001
114.1641,40.33081,3.579,-1.839,0.247,0.206,0.005
114.87342,40.61434,3.432,-1.465,0.148,0.165,0.002
113.31655,39.74323,4.294,-1.904,0.178,0.203,0.005
117.23861,39.94775,3.268,-1.219,0.089,0.093,0.002
120.50314,41.35155,2.22,-0.936,0.104,0.108,-0.003
118.76671,39.57398,2.735,-1.855,0.157,0.159,-0.001
116.02816,40.39099,3.231,-1.245,0.166,0.179,-0.005
83.9616,51.00164,-0.865,0.366,0.262,0.241,0.005
110.04825,44.70962,3.392,-1.279,0.533,0.602,0.156
82.67297,46.59061,1.475,1.348,0.359,0.357,-0.048
84.43227,46.15243,2.908,3.118,0.452,0.564,0.041
87.84538,48.24078,1.074,5.102,0.404,0.449,-0.051
85.31283,48.10718,1.09,2.804,0.361,0.486,0.047
87.71083,45.38142,3.259,5.607,0.109,0.116,0.0
80.33021,49.06691,0.777,0.722,0.252,0.298,0.009
78.63878,32.99754,-2.877,18.187,0.574,0.652,-0.117
84.04517,30.46543,7.845,20.155,1.197,0.922,0.569
96.16232,28.71894,17.194,15.134,0.445,0.549,-0.056
96.74193,20.6654,-3.823,0.897,3.504,1.233,2.365
88.70158,28.60219,14.625,22.233,0.183,0.171,-0.002
80.71336,32.62304,1.757,17.045,0.173,0.173,-0.002
95.34133,26.46633,8.815,23.277,0.839,1.0,-0.185
100.4476,25.24543,1.681,-10.776,0.665,0.72,-0.24
100.10676,26.48022,4.66,-14.622,1.41,0.791,0.252
