longitude,latitude,fid,e_vel,n_vel,e_err,n_err,station,ref
103.121,28.312,"5071",6.9,-4.3,0.3,0.3,H089_GPS,wang_shen_2020
102.532,28.672,"5072",10.8,-7.1,0.3,0.3,H090_GPS,wang_shen_2020
102.126,28.515,"5073",10.5,-11.1,0.3,0.3,H092_GPS,wang_shen_2020
103.64,28.25,"5074",8,-2.2,0.6,0.5,H093_GPS,wang_shen_2020
102.833,27.999,"5075",9.3,-5.9,0.3,0.3,H094_GPS,wang_shen_2020
102.232,27.875,"5076",10.5,-11.3,0.3,0.3,H095_GPS,wang_shen_2020
101.238,27.656,"5077",10.7,-12.1,0.2,0.3,H096_GPS,wang_shen_2020
100.653,27.748,"5078",10.2,-14.2,0.3,0.3,H097_GPS,wang_shen_2020
103.892,27.769,"5079",7.1,-3,0.3,0.2,H098_GPS,wang_shen_2020
103.269,27.684,"5080",5.9,-3.8,0.4,0.4,H099_GPS,wang_shen_2020
102.79,27.693,"5081",8.5,-6.8,0.3,0.3,H100_GPS,wang_shen_2020
103.687,27.356,"5082",8.1,-2,0.5,0.4,H101_GPS,wang_shen_2020
102.549,27.371,"5083",9.6,-9.6,0.3,0.3,H102_GPS,wang_shen_2020
102.188,27.454,"5084",9.8,-12.6,0.4,0.4,H103_GPS,wang_shen_2020
101.71,27.539,"5085",11,-12.4,0.5,0.4,H104_GPS,wang_shen_2020
100.934,27.138,"5086",9.2,-12.1,0.2,0.2,H106_GPS,wang_shen_2020
100.065,27.109,"5087",5.1,-14.6,0.2,0.2,H107_GPS,wang_shen_2020
102.907,26.931,"5088",8.2,-7.7,0.3,0.3,H108_GPS,wang_shen_2020
102.611,26.62,"5089",8.7,-12,0.2,0.2,H109_GPS,wang_shen_2020
102.263,26.69,"5090",8.5,-11.8,0.3,0.2,H110_GPS,wang_shen_2020
102.1,26.826,"5091",8.8,-12.6,0.4,0.4,H111_GPS,wang_shen_2020
101.959,27.049,"5092",9.6,-12.1,0.3,0.3,H112_GPS,wang_shen_2020
101.855,26.689,"5093",8.5,-12.8,0.2,0.2,H113_GPS,wang_shen_2020
101.245,26.677,"5094",8.2,-12,0.2,0.2,H114_GPS,wang_shen_2020
100.161,26.514,"5095",5.2,-11.5,1.1,1,H118_GPS,wang_shen_2020
103.227,26.405,"5096",7.1,-5.9,0.2,0.2,H119_GPS,wang_shen_2020
103.166,26.105,"5097",7.4,-7.4,0.4,0.3,H120_GPS,wang_shen_2020
102.532,26.002,"5098",7.4,-12,0.2,0.2,H121_GPS,wang_shen_2020
100.597,26.212,"5099",4.8,-11.6,0.3,0.3,H123_GPS,wang_shen_2020
